question_index,question,group_type,group_value,n_answered,agree_pct,disagree_pct,dont_know_pct,mean_score,n_scored
1,"Tulevik tundub mulle äge, ootan seda põnevusega!",Overall,All,393,0.811704834605598,0.09414758269720101,0.09414758269720101,3.297752808988764,356
2,Tulevik hirmutab mind,Overall,All,393,0.732824427480916,0.19083969465648856,0.0737913486005089,3.1101928374655645,363
3,"Tahaksin, et võiksin kooli lõpetamisele minna suvalistes riietes",Overall,All,393,0.11450381679389313,0.821882951653944,0.061068702290076333,1.6358695652173914,368
4,Ma tunnen end nüüd täiskasvanuna,Overall,All,393,0.3231552162849873,0.46055979643765904,0.21628498727735368,2.331168831168831,308
5,Vanemad inimesed on noortest igas asjas targemad.,Overall,All,393,0.05597964376590331,0.8905852417302799,0.05343511450381679,1.6397849462365592,372
6,"Mul on kõrini sellest, et kõik küsivad, mida ma pärast lõpetamist edasi teen.",Overall,All,393,0.6743002544529262,0.25699745547073793,0.06615776081424936,3.0765027322404372,366
7,"Mul pole õrna aimugi, kelleks ma tahan saada.",Overall,All,393,0.4351145038167939,0.4758269720101781,0.089058524173028,2.5195530726256985,358
8,Tegin enamiku kodutöid tehisaruga.,Overall,All,393,0.24936386768447838,0.6997455470737913,0.04580152671755725,1.9517426273458445,373
9,"Olen teeselnud tunnis, et sain õpetajast/tunni teemast aru",Overall,All,393,0.7251908396946565,0.22646310432569974,0.04580152671755725,3.0427807486631018,374
10,"Mõtlen pärast lõpetamist võtta vaheaasta, et töötada või puhata.",Overall,All,393,0.15012722646310434,0.6234096692111959,0.22646310432569974,1.7532894736842106,304
12,Eestis tühistatakse inimesi liiga kergekäeliselt.,Overall,All,393,0.2340966921119593,0.29770992366412213,0.46564885496183206,2.397129186602871,209
13,Tahan nüüd endale tätoveeringu teha lasta.,Overall,All,393,0.4300254452926209,0.4402035623409669,0.1297709923664122,2.435672514619883,342
14,Armastan käia metsas.,Overall,All,393,0.8320610687022901,0.10687022900763359,0.061068702290076333,3.3712737127371275,369
15,Armastan käia seenel.,Overall,All,393,0.4300254452926209,0.4300254452926209,0.13994910941475827,2.4792899408284024,338
16,Mulle meeldib käia pidudel.,Overall,All,393,0.6997455470737913,0.22137404580152673,0.07888040712468193,3.0359116022099446,362
17,Mulle meeldib teha sporti.,Overall,All,393,0.8193384223918575,0.11195928753180662,0.06361323155216285,3.3524590163934427,366
18,Ma hakkan gümnaasiumis käimist taga igatsema.,Overall,All,393,0.5216284987277354,0.2697201017811705,0.20865139949109415,2.77491961414791,311
19,Poliitikud tunduvad mulle äärmiselt usaldusväärsed ja targad inimesed.,Overall,All,393,0.022900763358778626,0.8956743002544529,0.08142493638676845,1.6759002770083102,361
20,Eesti on salliv riik eri rahvuste suhtes.,Overall,All,393,0.40458015267175573,0.4173027989821883,0.178117048346056,2.4489164086687305,323
21,Eesti on salliv riik seksuaalvähemuste suhtes.,Overall,All,393,0.26463104325699743,0.4961832061068702,0.2366412213740458,2.237458193979933,299
22,Eesti võiks olla konservatiivsem.,Overall,All,393,0.15012722646310434,0.5903307888040712,0.25190839694656486,1.7903780068728523,291
23,"Olen uhke, et olen eestlane.",Overall,All,393,0.8804071246819338,0.04834605597964377,0.06870229007633588,3.5013698630136987,365
24,"Pean loomulikuks, et inimene võib ise määratleda, mis soost ta on.",Overall,All,393,0.55470737913486,0.2824427480916031,0.15267175572519084,2.8693009118541033,329
25,Eestis peaks olema rohkem unisex-WC-sid.,Overall,All,393,0.2824427480916031,0.3944020356234097,0.3231552162849873,2.300751879699248,266
26,"Võimekas juht võib olla nii naine kui mees. Loevad oskused, mitte sugu.",Overall,All,393,0.9821882951653944,0.01272264631043257,0.002544529262086514,3.918158567774936,391
27,"Kokkama, koristama ja pesu pesema peavad koos elavad inimesed võrdselt, sõltumata soost.",Overall,All,393,0.9287531806615776,0.027989821882951654,0.043256997455470736,3.7632978723404253,376
28,"Nõusolek on see, kui ma ütlen „jah”, mitte see, kui ma ei öelnud „ei”.",Overall,All,393,0.9516539440203562,0.020356234096692113,0.027989821882951654,3.8141361256544504,382
29,Laste saamine on iga täiskasvanud kodaniku vastutus oma rahvuse säilimise nimel.,Overall,All,393,0.21882951653944022,0.6081424936386769,0.16793893129770993,1.9753846153846153,325
30,Keskkonnahoid on mulle olulisem kui majanduskasv.,Overall,All,393,0.48854961832061067,0.19083969465648856,0.31806615776081426,2.846441947565543,267
31,Eesti tegeleb kliimakriisi leevendamisega piisavalt.,Overall,All,393,0.2544529262086514,0.37404580152671757,0.37150127226463103,2.408906882591093,247
32,Jalakäijate turvalisuse huvides võiks olla linnades autode kiiruspiirang 30 km/h.,Overall,All,393,0.13231552162849872,0.727735368956743,0.13994910941475827,1.8224852071005917,338
33,Linnades võiks olla rohkem puid ja põõsaid.,Overall,All,393,0.9185750636132316,0.027989821882951654,0.05343511450381679,3.5080645161290325,372
34,Eestis on igas maakonnas ja linnas võimalik täisväärtuslikku elu elada.,Overall,All,393,0.3435114503816794,0.4910941475826972,0.16539440203562342,2.3689024390243905,328
35,Olen valmis vajadusel Eesti kaitsmiseks relva haarama.,Overall,All,393,0.356234096692112,0.3994910941475827,0.23155216284987276,2.4646464646464645,297
36,Mul on kindel seisukoht Ukraina-Venemaa sõjas.,Overall,All,393,0.8396946564885496,0.043256997455470736,0.10687022900763359,3.6138328530259365,347
37,Mul on kindel seisukoht Iisraeli-Palestiina konfliktis.,Overall,All,393,0.4961832061068702,0.1475826972010178,0.3460559796437659,3.0988142292490117,253
38,Romantiline suhe on minu jaoks oluline osa elust.,Overall,All,393,0.7735368956743003,0.1475826972010178,0.07124681933842239,3.207182320441989,362
39,Näen abiellumist olulise ja loomuliku osana oma tulevikust.,Overall,All,393,0.5852417302798982,0.25190839694656486,0.1628498727735369,2.9088145896656536,329
40,Soovin kindlasti tulevikus saada lapsi.,Overall,All,393,0.6234096692111959,0.183206106870229,0.19083969465648856,3.091482649842271,317
41,Tahaks tulevikus pigem koera või kassi kui last.,Overall,All,393,0.3053435114503817,0.4860050890585242,0.20865139949109415,2.32475884244373,311
42,"Minu jaoks on tulevikus oluline just Eesti riigis oma pere luua, mitte välismaal.",Overall,All,393,0.3893129770992366,0.31297709923664124,0.29770992366412213,2.6159420289855073,276
43,Minu jaoks on üürikorteris elada sama hea kui endale (pangalaenuga) ostetud kodus.,Overall,All,393,0.17048346055979643,0.5725190839694656,0.25699745547073793,1.9965753424657535,292
44,Kavatsen elada ema ja/või isaga koos nii kaua kui võimalik.,Overall,All,393,0.1475826972010178,0.6921119592875318,0.15521628498727735,1.8212121212121213,330
45,Tahan tulevikus pigem üksinda elada.,Overall,All,393,0.4732824427480916,0.3435114503816794,0.183206106870229,2.6448598130841123,321
