question_index,question,question_type,group_type,group_value,answer,count,percent,n_answered
1,"Tulevik tundub mulle äge, ootan seda põnevusega!",likert,Overall,All,pole üldse nõus,8,0.020356234096692113,393
1,"Tulevik tundub mulle äge, ootan seda põnevusega!",likert,Overall,All,pigem ei ole nõus,29,0.0737913486005089,393
1,"Tulevik tundub mulle äge, ootan seda põnevusega!",likert,Overall,All,ei oska öelda,37,0.09414758269720101,393
1,"Tulevik tundub mulle äge, ootan seda põnevusega!",likert,Overall,All,pigem olen nõus,168,0.42748091603053434,393
1,"Tulevik tundub mulle äge, ootan seda põnevusega!",likert,Overall,All,olen täiesti nõus,151,0.3842239185750636,393
2,Tulevik hirmutab mind,likert,Overall,All,pole üldse nõus,13,0.03307888040712468,393
2,Tulevik hirmutab mind,likert,Overall,All,pigem ei ole nõus,62,0.15776081424936386,393
2,Tulevik hirmutab mind,likert,Overall,All,ei oska öelda,29,0.0737913486005089,393
2,Tulevik hirmutab mind,likert,Overall,All,pigem olen nõus,160,0.4071246819338422,393
2,Tulevik hirmutab mind,likert,Overall,All,olen täiesti nõus,128,0.3256997455470738,393
2,Tulevik hirmutab mind,likert,Overall,All,ei soovi avaldada,1,0.002544529262086514,393
3,"Tahaksin, et võiksin kooli lõpetamisele minna suvalistes riietes",likert,Overall,All,pole üldse nõus,204,0.5190839694656488,393
3,"Tahaksin, et võiksin kooli lõpetamisele minna suvalistes riietes",likert,Overall,All,pigem ei ole nõus,119,0.30279898218829515,393
3,"Tahaksin, et võiksin kooli lõpetamisele minna suvalistes riietes",likert,Overall,All,ei oska öelda,24,0.061068702290076333,393
3,"Tahaksin, et võiksin kooli lõpetamisele minna suvalistes riietes",likert,Overall,All,pigem olen nõus,20,0.05089058524173028,393
3,"Tahaksin, et võiksin kooli lõpetamisele minna suvalistes riietes",likert,Overall,All,olen täiesti nõus,25,0.06361323155216285,393
3,"Tahaksin, et võiksin kooli lõpetamisele minna suvalistes riietes",likert,Overall,All,ei soovi avaldada,1,0.002544529262086514,393
4,Ma tunnen end nüüd täiskasvanuna,likert,Overall,All,pole üldse nõus,53,0.13486005089058525,393
4,Ma tunnen end nüüd täiskasvanuna,likert,Overall,All,pigem ei ole nõus,128,0.3256997455470738,393
4,Ma tunnen end nüüd täiskasvanuna,likert,Overall,All,ei oska öelda,85,0.21628498727735368,393
4,Ma tunnen end nüüd täiskasvanuna,likert,Overall,All,pigem olen nõus,99,0.25190839694656486,393
4,Ma tunnen end nüüd täiskasvanuna,likert,Overall,All,olen täiesti nõus,28,0.07124681933842239,393
5,Vanemad inimesed on noortest igas asjas targemad.,likert,Overall,All,pole üldse nõus,157,0.3994910941475827,393
5,Vanemad inimesed on noortest igas asjas targemad.,likert,Overall,All,pigem ei ole nõus,193,0.4910941475826972,393
5,Vanemad inimesed on noortest igas asjas targemad.,likert,Overall,All,ei oska öelda,21,0.05343511450381679,393
5,Vanemad inimesed on noortest igas asjas targemad.,likert,Overall,All,pigem olen nõus,21,0.05343511450381679,393
5,Vanemad inimesed on noortest igas asjas targemad.,likert,Overall,All,olen täiesti nõus,1,0.002544529262086514,393
6,"Mul on kõrini sellest, et kõik küsivad, mida ma pärast lõpetamist edasi teen.",likert,Overall,All,pole üldse nõus,27,0.06870229007633588,393
6,"Mul on kõrini sellest, et kõik küsivad, mida ma pärast lõpetamist edasi teen.",likert,Overall,All,pigem ei ole nõus,74,0.18829516539440203,393
6,"Mul on kõrini sellest, et kõik küsivad, mida ma pärast lõpetamist edasi teen.",likert,Overall,All,ei oska öelda,26,0.06615776081424936,393
6,"Mul on kõrini sellest, et kõik küsivad, mida ma pärast lõpetamist edasi teen.",likert,Overall,All,pigem olen nõus,109,0.27735368956743,393
6,"Mul on kõrini sellest, et kõik küsivad, mida ma pärast lõpetamist edasi teen.",likert,Overall,All,olen täiesti nõus,156,0.3969465648854962,393
6,"Mul on kõrini sellest, et kõik küsivad, mida ma pärast lõpetamist edasi teen.",likert,Overall,All,ei soovi avaldada,1,0.002544529262086514,393
7,"Mul pole õrna aimugi, kelleks ma tahan saada.",likert,Overall,All,pole üldse nõus,70,0.178117048346056,393
7,"Mul pole õrna aimugi, kelleks ma tahan saada.",likert,Overall,All,pigem ei ole nõus,117,0.29770992366412213,393
7,"Mul pole õrna aimugi, kelleks ma tahan saada.",likert,Overall,All,ei oska öelda,35,0.089058524173028,393
